entry_date,exit_date,entry_price,exit_price,side,pnl_pct,exit_reason
1991-01-25,1991-05-15,336.1,368.6,short,-0.09669741148467725,
1991-05-16,1991-05-30,372.2,387.0,long,0.03976356797420744,
1991-05-31,1991-06-24,389.8,370.9,short,0.048486403283735324,
1991-06-25,1991-07-18,370.6,385.4,long,0.039935240151106166,
1991-07-19,1991-08-19,384.2,376.5,short,0.02004164497657468,
1991-08-20,1991-11-19,379.4,379.4,long,0.0,
1991-11-20,1991-12-13,378.5,384.5,short,0.0,
1991-12-16,1991-12-23,384.5,396.8,long,0.031989596879063775,
1991-12-24,1992-02-18,399.3,407.4,short,-0.02028549962434245,
1992-02-19,1992-04-08,408.3,394.5,long,-0.033798677443056646,
1992-04-09,1992-04-09,400.6,400.6,short,0.0,
1992-04-10,1992-05-11,404.3,418.5,long,0.035122433836260125,
1992-05-12,1992-06-10,416.3,407.2,short,0.021859236127792503,
1992-06-11,1992-06-18,409.1,401.0,long,-0.01979956000977756,
1992-06-19,1992-06-19,403.7,403.7,short,0.0,
1992-06-22,1992-07-29,403.4,422.2,long,0.046603867129400234,
1992-07-30,1992-08-24,423.9,410.7,short,0.03113941967445155,
1992-08-25,1992-09-14,411.6,425.3,long,0.03328474246841595,
1992-09-15,1992-10-02,419.8,410.5,short,0.022153406383992436,
1992-10-05,1992-10-19,407.6,415.0,short,0.0,
1992-10-20,1992-11-20,415.5,426.6,long,0.02671480144404348,
1992-11-23,1993-04-02,425.1,441.4,short,-0.03834391907786383,
1993-04-05,1993-08-18,442.3,456.0,long,0.030974451729595343,
1993-08-19,1993-09-20,456.4,455.1,short,0.0028483786152496693,
1993-09-21,1993-10-14,452.9,466.8,long,0.03069110178847434,
1993-10-15,1994-03-25,469.5,460.6,short,0.018956336528221485,
1994-03-28,1994-06-14,460.0,462.4,short,0.0,
1994-06-15,1994-06-15,460.6,460.6,long,0.0,
1994-06-16,1994-08-01,461.9,461.0,short,-0.0,
1994-08-02,1994-08-04,460.6,458.4,short,0.004776378636561107,
1994-08-05,1994-08-12,457.1,461.9,short,0.0,
1994-08-15,1994-09-23,461.2,459.7,short,0.0032523850823937828,
1994-09-26,1994-09-27,460.8,462.1,short,0.0,
1994-09-28,1994-10-04,464.8,454.6,short,0.021944922547332157,
1994-10-05,1994-10-11,453.5,465.8,short,0.0,
1994-10-12,1994-11-21,465.5,458.3,long,-0.015467239527389931,
1994-11-22,1994-12-16,450.1,458.8,short,0.0,
1994-12-19,1994-12-19,457.9,457.9,long,0.0,
1994-12-20,1994-12-21,457.1,459.6,short,0.0,
1994-12-22,1995-01-13,459.7,466.0,long,0.013704589949967483,
1995-01-16,1996-01-10,469.4,598.5,short,-0.27503195568811245,
1996-01-11,1996-01-31,602.7,636.0,long,0.05525136884021897,
1996-02-01,1996-03-08,638.5,633.5,short,0.007830853563038365,
1996-03-11,1996-05-13,640.0,661.5,long,0.03359375000000009,
1996-05-14,1996-06-18,665.6,662.1,short,0.005258413461538436,
1996-06-19,1996-07-15,662.0,629.8,long,-0.04864048338368587,
1996-07-16,1996-07-17,628.4,634.1,short,0.0,
1996-07-18,1996-07-23,643.6,626.9,long,-0.025947793660658913,
1996-07-24,1996-07-26,626.6,635.9,short,0.0,
1996-07-29,1996-07-29,630.9,630.9,long,0.0,
