,PortfolioValue
2004-04-21,100105.5267394026
2004-04-22,100386.93716952138
2004-04-23,100399.26647139323
2004-04-26,100309.48280332307
2004-04-27,100355.4193344175
2004-04-28,100078.54031086063
2004-04-29,99926.96019813036
2004-04-30,99808.54419358638
2004-05-03,99992.423386357
2004-05-04,100028.21485781521
2004-05-05,100063.95517576352
2004-05-06,99930.1201933617
2004-05-07,99655.62632640328
2004-05-10,99445.19485914447
2004-05-11,99598.87706626742
2004-05-12,99631.6069574074
2004-05-13,99615.2634877525
2004-05-14,99602.5435526118
2004-05-17,99391.64832486509
2004-05-18,99527.33658196387
2004-05-19,99476.2735416653
2004-05-20,99485.41070282462
2004-05-21,99565.78819219158
2004-05-24,99598.56405516634
2004-05-25,99918.61786699231
2004-05-26,99952.73204020836
2004-05-27,100067.48627557608
2004-05-28,100056.77718937876
2004-06-01,100065.70525016125
2004-06-02,100133.53430473682
2004-06-03,99984.00156017508
2004-06-04,100089.66260427413
2004-06-07,100408.87952376036
2004-06-08,100440.57646924314
2004-06-09,100248.87584176725
2004-06-10,100341.03427089784
2004-06-14,100143.26575636478
2004-06-15,100262.51571292173
2004-06-16,100290.85847354728
2004-06-17,100262.54771603887
2004-06-18,100315.69040917457
2004-06-21,100232.60957306476
2004-06-22,100305.32543597718
2004-06-23,100476.86310465296
2004-06-24,100417.14431528912
2004-06-25,100306.22505357502
2004-06-28,100286.77215379382
2004-06-29,100338.09689380018
2004-06-30,100419.34231638625
2004-07-01,100209.84193532648
2004-07-02,100203.82934481037
2004-07-06,100033.98643618486
2004-07-07,100027.9843969987
2004-07-08,100027.9843969987
2004-07-09,100027.9843969987
2004-07-12,100027.9843969987
2004-07-13,100027.9843969987
2004-07-14,100027.9843969987
2004-07-15,100027.9843969987
2004-07-16,100027.9843969987
2004-07-19,100027.9843969987
2004-07-20,100027.9843969987
2004-07-21,100027.9843969987
2004-07-22,100027.9843969987
2004-07-23,100027.9843969987
2004-07-26,100027.9843969987
2004-07-27,100027.9843969987
2004-07-28,100027.9843969987
2004-07-29,100027.9843969987
2004-07-30,100027.9843969987
2004-08-02,100027.9843969987
2004-08-03,100027.9843969987
2004-08-04,100027.9843969987
2004-08-05,100027.9843969987
2004-08-06,100027.9843969987
2004-08-09,100027.9843969987
2004-08-10,100027.9843969987
2004-08-11,100027.9843969987
2004-08-12,100027.9843969987
2004-08-13,100027.9843969987
2004-08-16,100027.9843969987
2004-08-17,100027.9843969987
2004-08-18,100027.9843969987
2004-08-19,100027.9843969987
2004-08-20,100027.9843969987
2004-08-23,100027.9843969987
2004-08-24,100027.9843969987
2004-08-25,100027.9843969987
2004-08-26,100027.9843969987
2004-08-27,100027.9843969987
2004-08-30,100027.9843969987
2004-08-31,100027.9843969987
2004-09-01,100027.9843969987
2004-09-02,100027.9843969987
2004-09-03,100027.9843969987
2004-09-07,100160.31164750687
2004-09-08,100070.98647882098
2004-09-09,100064.98221963225
2004-09-10,100064.98221963225
2004-09-13,100092.81112899471
2004-09-14,100137.26521103815
2004-09-15,99997.03931452706
2004-09-16,100052.37505566861
2004-09-17,100141.42923907374
2004-09-20,100029.61869335709
2004-09-21,100023.61691623549
2004-09-22,99739.50148424045
2004-09-23,99733.5171141514
2004-09-24,99733.5171141514
2004-09-27,99733.5171141514
2004-09-28,99733.5171141514
2004-09-29,99733.5171141514
2004-09-30,99733.5171141514
2004-10-01,99733.5171141514
2004-10-04,99733.5171141514
2004-10-05,99715.23333885749
2004-10-06,99847.07366499965
2004-10-07,99649.47787998836
2004-10-08,99643.49891131556
2004-10-11,99643.49891131556
2004-10-12,99591.4382848086
2004-10-13,99585.46279851151
2004-10-14,99585.46279851151
2004-10-15,99585.46279851151
2004-10-18,99585.46279851151
2004-10-19,99585.46279851151
2004-10-20,99585.46279851151
2004-10-21,99585.46279851151
2004-10-22,99585.46279851151
2004-10-25,99585.46279851151
2004-10-26,99585.46279851151
2004-10-27,99585.46279851151
2004-10-28,99614.88325019927
2004-10-29,99664.36376698133
2004-11-01,99669.65474364565
2004-11-02,99669.65474364565
2004-11-03,99893.59187150843
2004-11-04,100216.90038263911
2004-11-05,100294.54109051927
2004-11-08,100272.18079152808
2004-11-09,100258.4083227096
2004-11-10,100237.73826172047
2004-11-11,100420.47452891013
2004-11-12,100603.60176835781
2004-11-15,100596.80537573708
2004-11-16,100454.04255006448
2004-11-17,100565.14537064903
2004-11-18,100592.37343268354
2004-11-19,100367.98486837237
2004-11-22,100486.33727298517
2004-11-23,100481.21564519347
2004-11-24,100564.88595816169
2004-11-26,100580.20299951595
2004-11-29,100510.46784566493
2004-11-30,100428.59948563452
2004-12-01,100729.76550215305
2004-12-02,100711.1650754194
2004-12-03,100726.39485758657
2004-12-06,100709.4831055957
2004-12-07,100487.79024243266
2004-12-08,100585.1108446554
2004-12-09,100693.96182696952
2004-12-10,100673.64013941615
2004-12-13,100854.98827906123
2004-12-14,100934.07703269625
2004-12-15,100972.65911299794
2004-12-16,100930.78606866146
2004-12-17,100779.79253897099
2004-12-20,100788.23164402365
2004-12-21,100970.45528205084
2004-12-22,101039.13696876282
2004-12-23,101047.49007201749
2004-12-27,100960.64651390255
2004-12-28,101104.76827670769
2004-12-29,101104.76827670769
2004-12-30,101104.76827670769
2004-12-31,101078.1069451473
2005-01-02,100702.78597703675
2005-01-03,101058.38686917021
2005-01-04,100432.1989135202
2005-01-06,100935.68713042828
2005-01-07,100803.04271084408
2005-01-08,101493.40514334133
2005-01-09,101268.28417669942
2005-01-11,100956.58742776001
2005-01-12,101995.69829603046
2005-02-02,100842.42994335138
2005-02-03,101128.08818439103
2005-02-05,100327.48733751354
2005-02-06,101054.34798403036
2005-02-08,101722.28172973565
2005-02-09,101295.47495324725
2005-02-11,101242.24908791877
2005-02-12,102080.65625438606
2005-03-01,101063.96487125015
2005-03-02,100858.8271337193
2005-03-03,101208.04838574966
2005-03-05,100383.6689086051
2005-03-06,100985.34849489848
2005-03-08,101812.82041400383
2005-03-10,101513.51525519641
2005-03-11,101400.97072047148
2005-04-01,100870.65004402536
2005-04-02,101125.3739077729
2005-04-03,101446.4868989015
2005-04-04,100682.79515561544
2005-04-05,100675.94656823984
2005-04-08,101706.9395057933
2005-04-10,101354.72193067818
2005-04-11,101448.19026214162
2005-05-01,100842.8769065901
2005-05-04,100803.6881565884
2005-05-05,100653.51506436258
2005-05-07,101209.74462057704
2005-05-08,101569.22819483106
2005-05-10,101072.31416256672
2005-05-12,102182.38621881556
2005-06-01,100980.90724608186
2005-06-04,100916.30122747169
2005-06-05,100698.12224669105
2005-06-06,101148.61158381448
2005-06-07,101104.68901343987
2005-06-09,101756.21307855284
2005-06-10,101064.85823373505
2005-06-12,102289.6811904242
2005-07-01,101035.04001098956
2005-07-02,101299.08370010949
2005-07-03,101696.96310017981
2005-07-04,101129.25949485441
2005-07-06,101234.54056426388
2005-07-07,101244.68684745749
2005-07-09,101895.47914124282
2005-07-10,101227.93354026896
2005-07-11,101683.32804018255
2005-07-12,102258.76852925522
2005-08-02,101362.56077580174
2005-08-03,101650.89144023928
2005-08-04,101014.01034248347
2005-08-06,101244.90928248069
2005-08-07,101536.43224885862
2005-08-08,101724.10582608236
2005-08-09,101867.15664941721
2005-08-11,101650.47080836707
2005-08-12,102271.08421950629
2005-09-02,101231.92270123833
2005-09-03,101486.7010301844
2005-09-05,101012.479825702
2005-09-06,101391.2337795785
2005-09-08,101906.25295357754
2005-09-09,102073.42091765598
2005-09-11,101731.3947952094
2005-09-12,102376.4353422029
2005-10-01,101251.38383741006
2005-10-02,101367.08025987593
2005-10-03,101573.70989716423
2005-10-05,100851.30342584799
2005-10-06,101403.03667559665
2005-10-08,101927.78321377267
2005-10-10,101234.4984788714
2005-10-11,101979.70989696738
2005-11-01,101184.41727713725
2005-11-02,101565.89022815671
2005-11-03,101478.25351875881
2005-11-04,101158.62365599662
2005-11-05,101152.55413857727
2005-11-07,101152.55413857727
2005-11-08,101451.75101717243
2005-11-10,100584.60000266145
2005-11-11,101430.09128127272
2005-12-01,100657.88519230863
2005-12-04,100659.58019753205
2005-12-05,100178.23113580282
2005-12-07,100172.22044193468
2005-12-08,100300.62545932572
2005-12-09,100466.9236354774
2005-12-10,99448.16343933497
2005-12-12,99442.19654952861
2006-01-02,99784.95622270938
2006-01-03,99920.33698202908
2006-01-05,100137.01677102355
2006-01-06,99837.80257748465
2006-01-08,99607.9512158689
2006-01-09,100236.52605948465
2006-01-11,101105.08970253254
2006-01-12,101532.33595087341
2006-02-02,99701.88974249437
2006-02-03,99989.03871672913
2006-02-05,100362.90200632236
2006-02-06,99980.7709447692
2006-02-08,99830.20217001927
2006-02-10,100654.76762556516
2006-02-11,101199.13352874557
2006-03-01,99741.0607352721
2006-03-02,99665.59461113444
2006-03-03,100031.45565464367
2006-03-04,100196.20603219792
2006-03-05,100350.61534955376
2006-03-07,99927.05257487144
2006-03-08,99928.6136911435
2006-03-10,100768.44176527981
2006-03-11,101224.66048071517
2006-04-01,99877.2736637909
2006-04-04,100385.4831128222
2006-04-05,100482.3402295403
2006-04-08,99980.00510386907
2006-04-10,101086.55260447155
2006-04-12,101968.4957163666
2006-05-01,100005.97665893429
2006-05-04,100604.36342151073
2006-05-05,100822.20147588485
2006-05-06,99902.04109131839
2006-05-07,99990.47093880302
2006-05-09,100656.07750434102
2006-05-10,101269.27322474516
2006-05-12,102191.26365197609
2006-06-01,100323.39110600486
2006-06-02,100003.41762989857
2006-06-03,100213.70149621916
2006-06-04,100695.05339106917
2006-06-06,99999.6498137924
2006-06-07,100162.6497177459
2006-06-09,100574.58934926697
2006-06-10,101337.23293227381
2006-06-11,101790.75759655281
2006-06-12,102279.12896580138
2006-07-02,99990.17287697793
2006-07-03,100326.44840259224
2006-07-04,100634.68547269034
2006-07-06,100024.11918336936
2006-07-07,100172.22049023215
2006-07-08,100335.28234263032
2006-07-09,100621.55011792989
2006-07-11,102002.5692292857
2006-07-12,102364.01888883408
2006-08-02,100304.08211989231
2006-08-03,100506.95677441306
2006-08-05,101233.34260202009
2006-08-06,100212.37373573866
2006-08-08,100429.06636357967
2006-08-09,100861.90260712855
2006-08-11,102209.93758230736
2006-08-12,102565.46323659526
2006-09-01,100825.2405946465
2006-09-02,100412.6245116053
2006-09-03,100546.1054493957
2006-09-05,101382.27727430893
2006-09-06,100268.30402163822
2006-09-08,100487.68847665642
2006-09-10,101832.28677270266
2006-09-11,102248.45188929798
2006-10-01,100933.90312090333
2006-10-02,100578.5957469645
2006-10-03,100810.39487844132
2006-10-04,101046.37426720174
2006-10-05,101454.73690884923
2006-10-07,100603.4006677786
2006-10-08,100674.84630859055
2006-10-10,101966.72670783273
2006-10-11,102381.10309093684
2006-11-01,101095.50071017294
2006-11-04,100976.76700512004
2006-11-05,101279.71300281922
2006-11-07,100761.64233672009
2006-11-08,100669.78889458995
2006-11-09,101191.13871313301
2006-11-10,101977.61851382763
2006-11-12,102929.40961995668
2006-12-01,101080.61385480843
2006-12-04,101112.05172553536
2006-12-05,101160.71989731537
2006-12-06,100302.0446416814
2006-12-07,100662.23639047553
2006-12-09,100656.1966562921
2006-12-10,101412.11189173022
2006-12-12,102138.39763583304
2007-01-02,102634.76304230925
2007-01-03,102028.56560377179
2007-01-05,103237.0282322885
2007-01-06,103931.61901633137
2007-01-08,102977.74553580655
2007-01-10,104118.66420649934
2007-01-11,103599.08043941841
2007-02-02,102774.90318850815
2007-02-03,101906.38287987286
2007-02-04,102454.40884316861
2007-02-05,103481.47023894287
2007-02-07,103806.60086941485
2007-02-08,103161.65265814246
2007-02-10,104204.34073826279
2007-02-11,103707.1029038852
2007-03-01,102428.02344699287
2007-03-04,102734.5989230731
2007-03-05,103657.76697014929
2007-03-07,103968.24350859819
2007-03-08,102716.45194795955
2007-03-10,104243.11472549883
2007-03-12,103333.1202711531
2007-04-01,102573.77202248841
2007-04-04,102878.96931356569
2007-04-05,103825.27857694737
2007-04-06,104288.68577144596
2007-04-09,103613.84474345505
2007-04-10,104356.82571690752
2007-04-12,103274.5666998797
2007-05-01,102524.78826239491
2007-05-02,103067.33981268041
2007-05-03,102028.83130233565
2007-05-04,103063.89564143366
2007-05-06,104308.82869309359
2007-05-07,104232.52177726323
2007-05-09,103506.84367232386
2007-05-10,104706.20980222254
2007-05-11,103961.3813452319
2007-05-12,103723.31241178256
2007-06-02,103206.4420334343
2007-06-03,102456.62727501459
2007-06-06,104248.18647345972
2007-06-07,104426.81128223197
2007-06-08,103571.14465031927
2007-06-09,103723.5693096125
2007-06-11,104310.06172721706
2007-06-12,104131.67183016334
2007-07-02,103339.95886049992
2007-07-03,102513.23918961592
2007-07-05,104243.88654662453
2007-07-06,103984.22638536895
2007-07-08,103788.9115441004
2007-07-09,103462.79212271175
2007-07-11,103777.41581805567
2007-07-12,104186.73037488753
2007-08-01,102914.0832663008
2007-08-02,103431.27606867251
2007-08-03,102768.53889963482
2007-08-05,104319.7068025639
2007-08-06,104319.7068025639
2007-08-08,104178.55657249344
2007-08-10,104945.19943955781
2007-08-11,103893.4492764253
2007-09-01,103010.05908526287
2007-09-02,103389.3893786156
2007-09-03,102881.82447421881
2007-09-04,103494.94968993342
2007-09-05,104469.28951810945
2007-09-07,104734.50310514471
2007-09-08,103658.30446375879
2007-09-10,105257.65701078065
2007-09-11,103758.01111802548
2007-10-01,103202.71268884598
2007-10-04,103692.90369059115
2007-10-05,104310.02108206648
2007-10-07,104570.18419197282
2007-10-08,103787.6909257194
2007-10-09,103760.55875555445
2007-10-10,105344.4493541789
2007-10-12,104717.43919162283
2007-11-01,103443.69936398858
2007-11-04,103663.11218326043
2007-11-05,104627.05160991414
2007-11-06,104672.9101927688
2007-11-07,104807.47082213333
2007-11-09,104154.6668492749
2007-11-10,105328.22062186139
2007-11-12,104288.76172817934
2007-12-01,103625.35619238392
2007-12-02,103664.4682999843
2007-12-03,103276.8294342888
2007-12-04,103881.83517475413
2007-12-06,104530.4688188899
2007-12-07,105296.41880474299
2007-12-09,104260.93938740877
2007-12-10,105539.0498430685
2007-12-11,103882.10433010139
2007-12-12,104566.37500064707
2008-01-02,103283.38651685063
2008-01-04,102910.34060310194
2008-01-05,103497.67009041493
2008-01-07,101670.50622761104
2008-01-08,101281.20053017167
2008-01-10,101275.12365813987
2008-01-12,101275.12365813987
2008-02-01,101275.12365813987
2008-02-04,100153.56520550842
2008-02-05,100833.21791856665
2008-02-06,100430.99757125729
2008-02-07,98630.6757269403
2008-02-09,98624.75788639669
2008-02-10,98624.75788639669
2008-02-12,98624.75788639669
2008-03-01,98624.75788639669
2008-03-03,97039.15418767954
2008-03-04,97593.12216771887
2008-03-06,97712.85958482379
2008-03-07,96084.43013278955
2008-03-09,96078.6650669816
2008-03-10,96078.6650669816
2008-03-11,96078.6650669816
2008-03-12,96078.6650669816
2008-04-01,96078.6650669816
2008-04-02,96078.6650669816
2008-04-03,96078.6650669816
2008-04-04,96078.6650669816
2008-04-06,96078.6650669816
2008-04-08,96078.6650669816
2008-04-09,96078.6650669816
2008-04-11,96078.6650669816
2008-04-12,96078.6650669816
2008-05-02,96078.6650669816
2008-05-03,96078.6650669816
2008-05-05,96078.6650669816
2008-05-06,96078.6650669816
2008-05-08,96078.6650669816
2008-05-09,96078.6650669816
2008-05-11,96078.6650669816
2008-05-12,96078.6650669816
2008-06-02,96078.6650669816
2008-06-03,96078.6650669816
2008-06-05,96078.6650669816
2008-06-06,96078.6650669816
2008-06-08,96078.6650669816
2008-06-10,96078.6650669816
2008-06-11,96078.6650669816
2008-07-01,96078.6650669816
2008-07-02,96078.6650669816
2008-07-03,96078.6650669816
2008-07-04,96078.6650669816
2008-07-05,96078.6650669816
2008-07-07,96078.6650669816
2008-07-08,96078.6650669816
2008-07-10,96078.6650669816
2008-07-11,96078.6650669816
2008-08-01,96078.6650669816
2008-08-02,96078.6650669816
2008-08-04,96078.6650669816
2008-08-05,96078.6650669816
2008-08-07,96078.6650669816
2008-08-08,96078.6650669816
2008-08-09,96078.6650669816
2008-08-10,96078.6650669816
2008-08-12,96078.6650669816
2008-09-01,96078.6650669816
2008-09-04,96078.6650669816
2008-09-05,96078.6650669816
2008-09-06,96078.6650669816
2008-09-07,96078.6650669816
2008-09-09,96078.6650669816
2008-09-10,96078.6650669816
2008-09-12,96078.6650669816
2008-10-01,96078.6650669816
2008-10-03,96078.6650669816
2008-10-04,96078.6650669816
2008-10-06,96078.6650669816
2008-10-07,96078.6650669816
2008-10-09,96078.6650669816
2008-10-10,96078.6650669816
2008-10-11,96078.6650669816
2008-10-12,96078.6650669816
2008-11-01,96078.6650669816
2008-11-02,96078.6650669816
2008-11-03,96078.6650669816
2008-11-04,96078.6650669816
2008-11-06,96078.6650669816
2008-11-07,96078.6650669816
2008-11-08,96078.6650669816
2008-11-09,96078.6650669816
2008-11-11,96078.6650669816
2008-11-12,96078.6650669816
2008-12-02,96078.6650669816
2008-12-03,96078.6650669816
2008-12-05,96078.6650669816
2008-12-06,96078.6650669816
2008-12-08,96078.6650669816
2008-12-09,96078.6650669816
2008-12-11,96078.6650669816
2008-12-12,96078.6650669816
2009-01-04,96078.6650669816
2009-01-05,96078.6650669816
2009-01-06,96078.6650669816
2009-01-07,96078.6650669816
2009-01-09,96078.6650669816
2009-01-10,96078.6650669816
2009-01-12,96078.6650669816
2009-02-01,96078.6650669816
2009-02-02,96078.6650669816
2009-02-03,96078.6650669816
2009-02-04,96078.6650669816
2009-02-06,96078.6650669816
2009-02-07,96078.6650669816
2009-02-09,96078.6650669816
2009-02-10,96078.6650669816
2009-02-11,96078.6650669816
2009-02-12,96078.6650669816
2009-03-02,96078.6650669816
2009-03-03,96078.6650669816
2009-03-04,96078.6650669816
2009-03-06,96078.6650669816
2009-03-08,96078.6650669816
2009-03-09,96078.6650669816
2009-03-11,96078.6650669816
2009-03-12,96078.6650669816
2009-04-02,96078.6650669816
2009-04-03,93318.2296567409
2009-04-05,93312.63056296151
2009-04-06,93312.63056296151
2009-04-08,93312.63056296151
2009-04-09,93312.63056296151
2009-04-11,93312.63056296151
2009-04-12,93312.63056296151
2009-05-01,93312.63056296151
2009-05-02,91665.13193365869
2009-05-03,91659.63202574267
