entry_date,exit_date,entry_price,exit_price,side,pnl_pct,exit_reason
2015-04-11,2015-04-11,2102.3,2102.3,short,0.0,
2015-04-12,2015-05-02,2091.7,2062.5,long,-0.013959936893435887,
2015-05-03,2015-05-03,2101.0,2101.0,short,0.0,
2015-05-05,2015-10-09,2089.5,1952.3,long,-0.0656616415410386,
2015-10-11,2015-10-11,2081.7,2081.7,short,0.0,
2015-10-12,2015-11-03,2052.2,2040.2,long,-0.005847383295974895,
2015-11-05,2015-11-05,2105.3,2105.3,short,0.0,
2015-11-06,2016-01-02,2108.9,1939.4,long,-0.08037365451183076,
2016-01-03,2016-01-03,1978.3,1978.3,short,0.0,
2016-01-04,2016-02-02,2072.8,1903.0,long,-0.08191817830953307,
2016-02-03,2016-02-05,1986.5,2081.4,short,0.0,
2016-02-06,2016-03-02,2105.3,1912.5,long,-0.09157839737804596,
2016-03-03,2016-03-03,1993.4,1993.4,short,0.0,
2016-03-05,2016-03-11,2063.4,2088.7,long,0.012261316274110534,
2016-04-01,2016-04-02,2012.7,1915.5,short,-0.0,
2016-04-03,2016-04-04,2000.0,2066.1,long,0.033050000000000024,
2016-04-05,2016-04-08,2051.1,2164.2,short,0.0,
2016-04-10,2016-05-01,2150.5,2016.7,long,-0.06221808881655422,
2016-05-02,2016-05-04,1880.0,2045.2,short,0.0,
2016-05-05,2016-05-07,2050.6,2088.6,long,0.018531161611235802,
2016-05-08,2016-05-08,2182.9,2182.9,short,0.0,
2016-05-10,2016-06-01,2159.7,1990.3,long,-0.07843681992869378,
2016-06-04,2016-06-05,2066.7,2057.1,short,-0.0,
2016-06-06,2016-06-06,2109.4,2109.4,long,0.0,
2016-06-07,2016-06-07,2099.7,2099.7,short,0.0,
2016-06-09,2016-07-01,2186.5,1943.1,long,-0.11131946032471995,
2016-07-03,2016-07-04,2001.8,2041.9,short,0.0,
2016-07-06,2016-08-01,2112.1,1922.0,long,-0.09000520808673829,
2016-08-02,2016-08-06,1853.4,2119.1,short,0.0,
2016-08-07,2016-09-02,2129.9,1852.2,long,-0.13038170806141136,
2016-09-03,2016-09-03,1989.3,1989.3,short,0.0,
2016-09-05,2016-09-05,2058.7,2058.7,long,0.0,
2016-09-06,2016-09-06,2115.5,2115.5,short,0.0,
2016-09-08,2016-10-02,2181.7,1851.9,long,-0.1511665215199155,
2016-10-03,2016-10-05,1989.6,2084.4,short,0.0,
2016-10-06,2016-11-01,2096.1,1923.7,long,-0.08224798435189151,
2016-11-02,2016-11-05,1829.1,2064.5,short,0.0,
2016-11-07,2016-12-01,2137.2,1938.7,long,-0.09287853265955448,
2016-12-02,2016-12-05,1864.8,2064.1,short,0.0,
2016-12-07,2019-04-01,2152.1,2531.9,long,0.17647878816040152,
2019-04-02,2019-04-06,2724.9,2803.3,short,0.0,
2019-04-09,2019-05-06,2937.8,2826.2,long,-0.037987609776023,
2019-05-07,2019-05-07,2990.4,2990.4,short,0.0,
2019-05-08,2019-06-02,2844.7,2731.6,long,-0.039758146729004795,
2019-06-03,2019-06-05,2771.4,2932.5,short,0.0,
2019-06-06,2019-07-01,2843.5,2549.7,long,-0.10332336908739237,
2019-07-02,2019-07-02,2706.1,2706.1,short,0.0,
2019-07-03,2019-08-01,2748.9,2574.4,long,-0.0634799374295173,
2019-08-02,2019-08-03,2707.9,2743.1,short,0.0,
2019-08-04,2019-09-01,2895.8,2585.0,long,-0.10732785413357282,
2019-09-04,2019-09-04,2878.2,2878.2,short,0.0,
2019-09-05,2019-10-01,2870.7,2596.6,long,-0.0954819382032257,
2019-10-04,2019-10-04,2888.2,2888.2,short,0.0,
2019-10-05,2019-11-01,2881.4,2596.3,long,-0.09894495731241759,
2019-11-02,2019-11-04,2709.8,2888.3,short,0.0,
2019-11-06,2019-12-02,2885.7,2744.7,long,-0.04886162802786154,
2019-12-03,2019-12-03,2791.5,2791.5,short,0.0,
2019-12-04,2020-01-04,2907.4,2470.5,long,-0.15027172043750436,
2020-01-05,2020-01-05,2830.7,2830.7,short,0.0,
2020-01-06,2020-02-04,3055.7,2526.9,long,-0.17305363746441071,
2020-02-06,2020-02-06,3080.8,3080.8,short,0.0,
2020-02-07,2020-03-04,3130.0,2488.7,long,-0.20488817891373812,
2020-03-06,2020-03-06,3122.9,3122.9,short,0.0,
2020-03-08,2020-05-05,3294.6,2868.4,long,-0.12936320038851445,
2020-05-06,2020-05-06,3193.9,3193.9,short,0.0,
2020-05-08,2020-06-04,3327.8,2663.7,long,-0.19956127171104043,
2020-06-05,2020-06-05,2848.4,2848.4,short,0.0,
2020-06-07,2020-07-04,3179.7,2659.4,long,-0.16363178916249954,
2020-07-05,2020-07-05,2881.2,2881.2,short,0.0,
2020-07-07,2020-08-04,3145.3,2750.0,long,-0.12567958541315616,
2020-08-05,2020-08-06,2929.8,3232.4,short,0.0,
2020-08-07,2020-09-03,3169.9,2746.6,long,-0.13353733556263614,
2020-09-04,2020-09-06,2789.8,3207.2,short,0.0,
2020-09-07,2020-11-03,3152.1,2741.4,long,-0.13029408965451594,
2020-11-05,2020-11-05,2930.3,2930.3,short,0.0,
2020-11-06,2020-12-03,3002.1,2480.6,long,-0.17371173511875027,
2020-12-05,2020-12-05,2870.1,2870.1,short,0.0,
2020-12-06,2022-03-10,3041.3,3678.43,long,0.20949265116890792,
2022-03-11,2022-04-01,3719.89,4793.5,short,0.0,
2022-04-02,2022-04-03,4500.5,4328.87,long,-0.03813576269303409,
2022-04-04,2022-04-04,4582.64,4582.64,short,0.0,
2022-04-05,2022-04-10,4300.17,3790.93,long,-0.11842322512830894,
2022-04-11,2022-05-01,3770.55,4700.6,short,0.0,
2022-05-04,2022-05-04,4525.12,4525.12,long,0.0,
2022-05-05,2022-05-08,4146.87,4145.19,short,-0.0,
2022-05-10,2022-05-10,3783.28,3783.28,long,0.0,
2022-05-12,2022-06-01,3998.84,4696.1,short,0.0,
2022-06-04,2022-06-05,4481.15,4123.34,long,-0.07984780692456162,
2022-06-06,2022-06-09,4121.43,3908.19,short,-0.0,
2022-06-10,2022-06-10,3744.52,3744.52,long,0.0,
2022-06-12,2022-06-12,3941.26,3941.26,short,0.0,
2022-07-01,2022-07-03,4677.0,4201.09,long,-0.10175539875988882,
2022-07-04,2022-07-04,4500.21,4500.21,short,0.0,
2022-07-06,2022-07-06,4160.68,4160.68,long,0.0,
2022-07-07,2022-07-07,3902.62,3902.62,short,0.0,
2022-07-09,2022-07-10,3979.87,3639.66,long,-0.08548269164570699,
2022-07-11,2022-08-02,3806.8,4521.5,short,0.0,
2022-08-03,2022-08-03,4170.7,4170.7,long,0.0,
2022-08-04,2022-08-06,4488.28,4115.77,short,-0.0,
2022-08-07,2022-08-07,3899.38,3899.38,long,0.0,
2022-08-08,2022-09-03,4140.06,4277.88,short,0.0,
2022-09-05,2022-09-05,3991.24,3991.24,long,0.0,
2022-09-06,2022-10-02,4017.82,4504.1,short,0.0,
2022-10-03,2022-10-06,4259.52,3900.86,long,-0.08420197580948097,
2022-10-08,2022-11-01,4210.24,4713.1,short,0.0,
2022-11-02,2022-11-02,4418.64,4418.64,long,0.0,
2022-11-03,2022-11-04,4204.31,4412.53,short,0.0,
2022-11-05,2022-11-07,3935.18,3854.43,long,-0.020520027038153255,
2022-11-08,2022-12-01,4207.27,4726.4,short,0.0,
2022-12-04,2022-12-04,4397.45,4397.45,long,0.0,
2022-12-05,2022-12-08,3930.08,4280.15,short,0.0,
2022-12-09,2022-12-09,4110.41,4110.41,long,0.0,
2022-12-10,2023-01-06,3577.03,4221.02,short,0.0,
2023-01-08,2023-02-02,4576.73,4179.76,long,-0.08673660014901452,
2023-02-03,2023-02-06,3981.35,4282.37,short,0.0,
2023-02-08,2023-03-01,4513.39,3824.14,long,-0.1527122628445582,
2023-03-02,2023-03-08,4136.48,4501.89,short,0.0,
2023-03-10,2023-03-10,4229.45,4229.45,long,0.0,
2023-03-11,2023-03-11,4358.34,4358.34,short,0.0,
2023-04-01,2023-04-04,3852.97,4100.6,long,0.06426990088165763,
2023-04-05,2023-04-05,4061.22,4061.22,short,0.0,
2023-04-08,2023-04-12,4478.03,4569.78,long,0.020488920351136475,
2023-05-01,2023-05-06,3808.1,4273.79,short,0.0,
2023-05-07,2023-05-12,4446.82,4567.18,long,0.02706653293814476,
2023-06-01,2023-06-06,3895.08,4283.85,short,0.0,
