Date,Cash,PositionsValue,TotalValue,UnrealizedPnL
2010-01-04,350000.0,0.0,350000.0,0.0
2010-01-05,350000.0,0.0,350000.0,0.0
2010-01-06,350000.0,0.0,350000.0,0.0
2010-01-07,350000.0,0.0,350000.0,0.0
2010-01-08,350000.0,0.0,350000.0,0.0
2010-01-11,350000.0,0.0,350000.0,0.0
2010-01-12,350000.0,0.0,350000.0,0.0
2010-01-13,350000.0,0.0,350000.0,0.0
2010-01-14,350000.0,0.0,350000.0,0.0
2010-01-15,350000.0,0.0,350000.0,0.0
2010-01-19,350000.0,0.0,350000.0,0.0
2010-01-20,350000.0,0.0,350000.0,0.0
2010-01-21,350000.0,0.0,350000.0,0.0
2010-01-22,350000.0,0.0,350000.0,0.0
2010-01-25,350000.0,0.0,350000.0,0.0
2010-01-26,350000.0,0.0,350000.0,0.0
2010-01-27,350000.0,0.0,350000.0,0.0
2010-01-28,350000.0,0.0,350000.0,0.0
2010-01-29,350000.0,0.0,350000.0,0.0
2010-02-01,350000.0,0.0,350000.0,0.0
2010-02-02,350000.0,0.0,350000.0,0.0
2010-02-03,350000.0,0.0,350000.0,0.0
2010-02-04,350000.0,0.0,350000.0,0.0
2010-02-05,350000.0,0.0,350000.0,0.0
2010-02-08,350000.0,0.0,350000.0,0.0
2010-02-09,350000.0,0.0,350000.0,0.0
2010-02-10,350000.0,0.0,350000.0,0.0
2010-02-11,350000.0,0.0,350000.0,0.0
2010-02-12,350000.0,0.0,350000.0,0.0
2010-02-16,350000.0,0.0,350000.0,0.0
2010-02-17,350000.0,0.0,350000.0,0.0
2010-02-18,350000.0,0.0,350000.0,0.0
2010-02-19,350000.0,0.0,350000.0,0.0
2010-02-22,350000.0,0.0,350000.0,0.0
2010-02-23,350000.0,0.0,350000.0,0.0
2010-02-24,350000.0,0.0,350000.0,0.0
2010-02-25,350000.0,0.0,350000.0,0.0
2010-02-26,350000.0,0.0,350000.0,0.0
2010-03-01,350000.0,0.0,350000.0,0.0
2010-03-02,350000.0,0.0,350000.0,0.0
2010-03-03,350000.0,0.0,350000.0,0.0
2010-03-04,350000.0,0.0,350000.0,0.0
2010-03-05,350000.0,0.0,350000.0,0.0
2010-03-08,350000.0,0.0,350000.0,0.0
2010-03-09,350000.0,0.0,350000.0,0.0
2010-03-10,350000.0,0.0,350000.0,0.0
2010-03-11,350000.0,0.0,350000.0,0.0
2010-03-12,350000.0,0.0,350000.0,0.0
2010-03-15,350000.0,0.0,350000.0,0.0
2010-03-16,350000.0,0.0,350000.0,0.0
2010-03-17,350000.0,0.0,350000.0,0.0
2010-03-18,350000.0,0.0,350000.0,0.0
2010-03-19,350000.0,0.0,350000.0,0.0
2010-03-22,350000.0,0.0,350000.0,0.0
2010-03-23,350000.0,0.0,350000.0,0.0
2010-03-24,350000.0,0.0,350000.0,0.0
2010-03-25,350000.0,0.0,350000.0,0.0
2010-03-26,350000.0,0.0,350000.0,0.0
2010-03-29,350000.0,0.0,350000.0,0.0
2010-03-30,350000.0,0.0,350000.0,0.0
2010-03-31,350000.0,0.0,350000.0,0.0
2010-04-01,350000.0,0.0,350000.0,0.0
2010-04-05,350000.0,0.0,350000.0,0.0
2010-04-06,350000.0,0.0,350000.0,0.0
2010-04-07,350000.0,0.0,350000.0,0.0
2010-04-08,350000.0,0.0,350000.0,0.0
2010-04-09,350000.0,0.0,350000.0,0.0
2010-04-12,350000.0,0.0,350000.0,0.0
2010-04-13,350000.0,0.0,350000.0,0.0
2010-04-14,350000.0,0.0,350000.0,0.0
2010-04-15,350000.0,0.0,350000.0,0.0
2010-04-16,350000.0,0.0,350000.0,0.0
2010-04-19,350000.0,0.0,350000.0,0.0
2010-04-20,350000.0,0.0,350000.0,0.0
2010-04-21,350000.0,0.0,350000.0,0.0
2010-04-22,350000.0,0.0,350000.0,0.0
2010-04-23,350000.0,0.0,350000.0,0.0
2010-04-26,350000.0,0.0,350000.0,0.0
2010-04-27,350000.0,0.0,350000.0,0.0
2010-04-28,350000.0,0.0,350000.0,0.0
2010-04-29,350000.0,0.0,350000.0,0.0
2010-04-30,350000.0,0.0,350000.0,0.0
2010-05-03,350000.0,0.0,350000.0,0.0
2010-05-04,350000.0,0.0,350000.0,0.0
2010-05-05,350000.0,0.0,350000.0,0.0
2010-05-06,350000.0,0.0,350000.0,0.0
2010-05-07,350000.0,0.0,350000.0,0.0
2010-05-10,350000.0,0.0,350000.0,0.0
2010-05-11,350000.0,0.0,350000.0,0.0
2010-05-12,350000.0,0.0,350000.0,0.0
2010-05-13,350000.0,0.0,350000.0,0.0
2010-05-14,350000.0,0.0,350000.0,0.0
2010-05-17,350000.0,0.0,350000.0,0.0
2010-05-18,350000.0,0.0,350000.0,0.0
2010-05-19,350000.0,0.0,350000.0,0.0
2010-05-20,350000.0,0.0,350000.0,0.0
2010-05-21,350000.0,0.0,350000.0,0.0
2010-05-24,350000.0,0.0,350000.0,0.0
2010-05-25,350000.0,0.0,350000.0,0.0
2010-05-26,350000.0,0.0,350000.0,0.0
2010-05-27,350000.0,0.0,350000.0,0.0
2010-05-28,350000.0,0.0,350000.0,0.0
2010-06-01,350000.0,0.0,350000.0,0.0
2010-06-02,350000.0,0.0,350000.0,0.0
2010-06-03,350000.0,0.0,350000.0,0.0
2010-06-04,350000.0,0.0,350000.0,0.0
2010-06-07,350000.0,0.0,350000.0,0.0
2010-06-08,350000.0,0.0,350000.0,0.0
2010-06-09,350000.0,0.0,350000.0,0.0
2010-06-10,350000.0,0.0,350000.0,0.0
2010-06-11,350000.0,0.0,350000.0,0.0
2010-06-14,350000.0,0.0,350000.0,0.0
2010-06-15,350000.0,0.0,350000.0,0.0
2010-06-16,350000.0,0.0,350000.0,0.0
2010-06-17,350000.0,0.0,350000.0,0.0
2010-06-18,350000.0,0.0,350000.0,0.0
2010-06-21,350000.0,0.0,350000.0,0.0
2010-06-22,350000.0,0.0,350000.0,0.0
2010-06-23,350000.0,0.0,350000.0,0.0
2010-06-24,350000.0,0.0,350000.0,0.0
2010-06-25,280896.45866897015,69082.81648608399,349979.2751550542,0.0
2010-06-28,280896.45866897015,68100.99731445312,348997.4559834233,-981.819171630865
2010-06-29,280896.45866897015,68310.0,349206.45866897015,-772.81648608399
2010-06-30,280896.45866897015,68502.5,349398.95866897015,-580.31648608399
2010-07-01,280896.45866897015,66346.50268554688,347242.961354517,-2736.3138005371147
2010-07-02,280896.45866897015,66407.00134277344,347303.4600117436,-2675.8151433105522
2010-07-06,280896.45866897015,65714.00268554688,346610.461354517,-3368.8138005371147
2010-07-07,280896.45866897015,65922.99865722656,346819.4573261967,-3159.8178288574272
2010-07-08,280896.45866897015,65769.00268554688,346665.461354517,-3313.8138005371147
2010-07-09,280896.45866897015,66527.99865722656,347424.4573261967,-2554.8178288574272
2010-07-12,280896.45866897015,65917.5,346813.95866897015,-3165.3164860839897
2010-07-13,280896.45866897015,66731.50268554688,347627.961354517,-2351.3138005371147
2010-07-14,280896.45866897015,66374.00268554688,347270.461354517,-2708.8138005371147
2010-07-15,280896.45866897015,66445.49865722656,347341.9573261967,-2637.3178288574272
2010-07-16,280896.45866897015,65340.0,346236.45866897015,-3742.8164860839897
2010-07-19,280896.45866897015,64993.497314453125,345889.9559834233,-4089.3191716308647
2010-07-20,280896.45866897015,65532.5,346428.95866897015,-3550.3164860839897
2010-07-21,280896.45866897015,65537.99865722656,346434.4573261967,-3544.8178288574272
2010-07-22,280896.45866897015,65752.5,346648.95866897015,-3330.3164860839897
2010-07-23,280896.45866897015,65323.497314453125,346219.9559834233,-3759.3191716308647
2010-07-26,280896.45866897015,65065.0,345961.45866897015,-4017.8164860839897
2010-07-27,280896.45866897015,63690.0,344586.45866897015,-5392.81648608399
2010-07-28,280896.45866897015,63822.00134277344,344718.4600117436,-5260.815143310552
2010-07-29,280896.45866897015,64262.00134277344,345158.4600117436,-4820.815143310552
2010-07-30,280896.45866897015,64993.497314453125,345889.9559834233,-4089.3191716308647
2010-08-02,280896.45866897015,65087.00134277344,345983.4600117436,-3995.8151433105522
2010-08-03,280896.45866897015,65185.997314453125,346082.4559834233,-3896.8191716308647
2010-08-04,280896.45866897015,65653.49731445312,346549.9559834233,-3429.3191716308647
2010-08-05,280896.45866897015,65845.99731445312,346742.4559834233,-3236.8191716308647
2010-08-06,280896.45866897015,66187.00134277344,347083.4600117436,-2895.8151433105522
2010-08-09,280896.45866897015,66038.49731445312,346934.9559834233,-3044.3191716308647
2010-08-10,280896.45866897015,65790.99731445312,346687.4559834233,-3291.8191716308647
2010-08-11,280896.45866897015,65862.5,346758.95866897015,-3220.3164860839897
2010-08-12,280896.45866897015,66814.00268554688,347710.461354517,-2268.8138005371147
2010-08-13,280896.45866897015,66819.50134277344,347715.9600117436,-2263.3151433105522
2010-08-16,280896.45866897015,67347.5,348243.95866897015,-1735.31648608399
2010-08-17,280896.45866897015,67462.99865722656,348359.4573261967,-1619.8178288574275
2010-08-18,280896.45866897015,67633.49731445312,348529.9559834233,-1449.319171630865
2010-08-19,280896.45866897015,67859.00268554688,348755.461354517,-1223.813800537115
2010-08-20,280896.45866897015,67495.99731445312,348392.4559834233,-1586.819171630865
2010-08-23,280896.45866897015,67479.50134277344,348375.9600117436,-1603.3151433105525
2010-08-24,280896.45866897015,67749.00268554688,348645.461354517,-1333.813800537115
2010-08-25,280896.45866897015,68172.5,349068.95866897015,-910.31648608399
2010-08-26,280896.45866897015,67947.00134277344,348843.4600117436,-1135.8151433105525
2010-08-27,280896.45866897015,67980.0,348876.45866897015,-1102.81648608399
2010-08-30,280896.45866897015,68040.49865722656,348936.9573261967,-1042.3178288574275
2010-08-31,280896.45866897015,68656.50268554688,349552.961354517,-426.31380053711496
2010-09-01,280896.45866897015,68546.50268554688,349442.961354517,-536.313800537115
2010-09-02,280896.45866897015,68832.5,349728.95866897015,-250.31648608398996
2010-09-03,280896.45866897015,68705.99731445312,349602.4559834233,-376.81917163086496
2010-09-07,280896.45866897015,69151.50268554688,350047.961354517,68.68619946288504
2010-09-08,280896.45866897015,69057.99865722656,349954.4573261967,-24.817828857427457
2010-09-09,280896.45866897015,68689.50134277344,349585.9600117436,-393.31514331055246
2010-09-10,280896.45866897015,68447.5,349343.95866897015,-635.31648608399
2010-09-13,280896.45866897015,68480.49865722656,349376.9573261967,-602.3178288574275
2010-09-14,280896.45866897015,69833.49731445312,350729.9559834233,750.680828369135
2010-09-15,280896.45866897015,69668.49731445312,350564.9559834233,585.680828369135
2010-09-16,280896.45866897015,69954.50134277344,350850.9600117436,871.6848566894475
2010-09-17,280896.45866897015,70157.99865722656,351054.4573261967,1075.1821711425725
2010-09-20,280896.45866897015,70345.0,351241.45866897015,1262.18351391601
2010-09-21,280896.45866897015,69982.00134277344,350878.4600117436,899.1848566894475
2010-09-22,280896.45866897015,70960.99731445312,351857.4559834233,1878.180828369135
2010-09-23,280896.45866897015,71186.50268554688,352082.961354517,2103.6861994628853
2010-09-24,280896.45866897015,71280.0,352176.45866897015,2197.1835139160103
2010-09-27,280896.45866897015,71318.49731445312,352214.9559834233,2235.6808283691353
2010-09-28,280896.45866897015,71862.99865722656,352759.4573261967,2780.1821711425728
2010-09-29,280896.45866897015,71967.5,352863.95866897015,2884.6835139160103
2010-09-30,280896.45866897015,71929.00268554688,352825.461354517,2846.1861994628853
2010-10-01,280896.45866897015,72385.49865722656,353281.9573261967,3302.6821711425728
2010-10-04,280896.45866897015,72347.00134277344,353243.4600117436,3264.1848566894478
2010-10-05,280896.45866897015,73639.50134277344,354535.9600117436,4556.684856689448
2010-10-06,280896.45866897015,74052.00134277344,354948.4600117436,4969.184856689448
2010-10-07,280896.45866897015,73364.50134277344,354260.9600117436,4281.684856689448
2010-10-08,280896.45866897015,73930.99731445312,354827.4559834233,4848.180828369135
2010-10-11,280896.45866897015,74431.50268554688,355327.961354517,5348.686199462885
2010-10-12,280896.45866897015,74013.49731445312,354909.9559834233,4930.680828369135
2010-10-13,280896.45866897015,75322.5,356218.95866897015,6239.68351391601
2010-10-14,280896.45866897015,75718.49731445312,356614.9559834233,6635.680828369135
2010-10-15,280896.45866897015,75410.49865722656,356306.9573261967,6327.682171142573
2010-10-18,280896.45866897015,75415.99731445312,356312.4559834233,6333.180828369135
2010-10-19,280896.45866897015,73430.49865722656,354326.9573261967,4347.682171142573
2010-10-20,280896.45866897015,73881.50268554688,354777.961354517,4798.686199462885
2010-10-21,280896.45866897015,72858.49731445312,353754.9559834233,3775.6808283691353
2010-10-22,280896.45866897015,72842.00134277344,353738.4600117436,3759.1848566894478
2010-10-25,280896.45866897015,73606.50268554688,354502.961354517,4523.686199462885
2010-10-26,280896.45866897015,73590.0,354486.45866897015,4507.18351391601
2010-10-27,280896.45866897015,72720.99731445312,353617.4559834233,3638.1808283691353
2010-10-28,280896.45866897015,73815.49865722656,354711.9573261967,4732.682171142573
2010-10-29,280896.45866897015,74640.49865722656,355536.9573261967,5557.682171142573
2010-11-01,280896.45866897015,74260.99731445312,355157.4559834233,5178.180828369135
2010-11-02,280896.45866897015,74602.00134277344,355498.4600117436,5519.184856689448
2010-11-03,280896.45866897015,73540.49865722656,354436.9573261967,4457.682171142573
2010-11-04,280896.45866897015,76048.49731445312,356944.9559834233,6965.680828369135
2010-11-05,280896.45866897015,76851.50268554688,357747.961354517,7768.686199462885
2010-11-08,280896.45866897015,77154.00268554688,358050.461354517,8071.186199462885
2010-11-09,280896.45866897015,77539.00268554688,358435.461354517,8456.186199462885
2010-11-10,280896.45866897015,76950.49865722656,357846.9573261967,7867.682171142573
2010-11-11,280896.45866897015,77170.49865722656,358066.9573261967,8087.682171142573
2010-11-12,280896.45866897015,75097.00134277344,355993.4600117436,6014.184856689448
2010-11-15,280896.45866897015,75262.00134277344,356158.4600117436,6179.184856689448
