ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return,hold_days
GC,2010-06-25,2011-07-13,1256.0512088378907,1584.8829111816406,55,18085.743628906246,0.26179800634719963,383
ES,2010-09-02,2012-02-23,1089.7179,1362.7274,64,17472.607999999993,0.25053227078310814,539
GC,2011-07-13,2013-04-15,1585.5169911621094,1360.3278555908203,48,-10809.078507421873,-0.14202883780276365,642
ES,2012-02-23,2013-09-17,1363.2726,1704.659,57,19459.024800000014,0.25041682785966657,572
GC,2013-09-19,2013-12-02,1369.6739044189453,1222.0555888183594,57,-8414.243989233393,-0.10777624887524584,74
GC,2014-02-14,2014-10-31,1319.2638,1170.8657555908203,59,-8755.484620141593,-0.11248549714558953,259
GC,2015-01-21,2015-03-06,1293.9586911621093,1163.8671555908204,60,-7805.492134277345,-0.10053762647898223,44
ES,2013-09-17,2016-07-12,1705.341,2145.32085,46,20239.073099999994,0.25800109772766855,1029
ES,2016-07-12,2017-12-18,2146.17915,2693.9611,37,20267.932150000008,0.2552358921201896,524
ES,2017-12-18,2018-12-24,2695.0389,2341.28165,30,-10612.717499999999,-0.1312623910549121,371
ES,2018-12-24,2019-04-23,2342.21835,2937.4124,34,20236.5977,0.2541155268465898,120
GC,2015-03-06,2019-08-05,1164.3327955810546,1464.3070555908203,66,19798.301160644536,0.2576361854173015,1613
ES,2019-04-23,2020-03-12,2938.5876,2468.5062,28,-13162.279200000004,-0.1599684828180722,324
ES,2020-03-12,2020-03-23,2469.4938,2220.0559,35,-8730.32650000001,-0.10100770449393326,11
ES,2020-03-23,2020-04-09,2220.9441,2779.19405,38,21213.498099999997,0.25135704676223036,17
GC,2019-08-05,2020-07-21,1464.8928955810547,1842.0315444091798,59,22251.18028085938,0.25745134676111037,351
ES,2020-04-09,2020-08-26,2780.30595,3479.55395,32,22375.936,0.25150037894210886,139
ES,2020-08-26,2021-07-09,3480.94605,4359.128,27,23710.912649999984,0.2522825511759941,317
ES,2021-07-09,2022-05-18,4360.872,3921.96545,23,-10094.850650000008,-0.10064651060613572,313
GC,2020-07-21,2022-09-23,1842.7685044189452,1644.9709888183593,51,-10087.67329562988,-0.10733714795226257,794
ES,2022-05-18,2024-01-25,3923.53455,4922.26535,25,24968.270000000004,0.2545487461044531,617
GC,2022-11-28,2024-03-08,1740.4479955810548,2178.1643776367187,55,24074.401013061506,0.2514963866584998,466
GC,2024-03-08,2024-10-22,2179.0358176757813,2743.6511111816408,49,27666.14938178711,0.2591124427262024,228
ES,2024-01-25,2025-02-19,4924.23465,6161.7674,21,25988.187749999983,0.2513147398449014,391
ES,2025-02-19,2025-03-13,6164.2326,5526.3945,19,-12118.923899999994,-0.10347404801045301,22
GC,2024-10-22,2025-06-13,2744.7487911621092,3430.5137111816407,42,28802.12664082031,0.24984615066691873,234
GC,2025-06-13,2025-10-20,3431.8861911621093,4335.532622363281,35,31627.62509204101,0.2633089738022978,129
ES,2025-03-13,2025-10-28,5528.6055,6924.36485,21,29310.946350000013,0.25246137565793036,229
