ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return,hold_days
NQ,2010-09-15,2012-01-20,1942.63845,2434.26305,30,14748.737999999998,0.2530705597842975,492
NQ,2012-01-20,2013-07-11,2435.23695,3054.389,25,15478.801250000004,0.25424714831137907,538
NQ,2013-07-11,2014-06-27,3055.611,3830.7337,21,16277.576700000012,0.2536719170077606,351
NQ,2014-06-27,2016-08-09,3832.2663,4790.79165,18,17253.456300000005,0.2501197137578879,774
NQ,2016-08-09,2017-09-12,4792.70835,5995.3007,15,18038.885250000007,0.2509212458129233,399
NQ,2017-09-12,2018-08-27,5997.6993,7566.4864,12,18825.445199999987,0.2615648136944777,349
NQ,2018-08-27,2018-10-29,7569.5136,6734.90275,10,-8346.108500000002,-0.11025950861624711,63
NQ,2018-10-29,2018-12-24,6737.59725,5890.8216,11,-9314.532149999992,-0.12567917294255004,56
NQ,2018-12-24,2019-03-19,5893.1784,7375.0247,12,17782.1556,0.2514511184660557,85
NQ,2019-03-19,2020-01-23,7377.9753,9246.40035,10,18684.250499999995,0.2532436032958798,310
NQ,2020-01-23,2020-03-09,9250.09965,7949.9097,9,-11701.70955,-0.1405595614313193,46
NQ,2020-03-09,2020-03-16,7953.0903,7056.0885,10,-8970.017999999996,-0.11278657303815598,7
NQ,2020-03-16,2020-04-27,7058.9115,8822.48515,11,19399.310150000005,0.2498364868294496,42
NQ,2020-04-27,2020-08-03,8826.01485,11042.04115,9,19944.236699999994,0.251078922669159,98
NQ,2020-08-03,2021-04-09,11046.45885,13826.7341,7,19461.926749999984,0.2516892777815398,249
NQ,2021-04-09,2022-05-09,13832.2659,12191.31125,6,-9845.727899999998,-0.11863238184280422,395
NQ,2022-05-09,2022-10-11,12196.18875,10842.831,7,-9473.504249999998,-0.11096562850423242,155
NQ,2022-10-11,2023-05-17,10847.169,13640.7713,8,22348.818400000004,0.2575420646622175,218
NQ,2023-05-17,2023-12-26,13646.2287,17080.0833,6,20603.127599999993,0.2516339624294879,223
NQ,2023-12-26,2024-12-04,17086.9167,21532.1927,5,22226.37999999999,0.2601567080853153,344
NQ,2024-12-04,2025-03-13,21540.8073,19245.1502,4,-9182.628400000001,-0.10657247279678328,99
NQ,2025-03-13,2025-04-08,19252.8498,17240.30125,5,-10062.74274999999,-0.10453250146895132,26
NQ,2025-04-08,2025-06-03,17247.19875,21701.6588,5,22272.300250000015,0.2582715091631911,56
