ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,return,hold_days
GC,2010-06-25,2011-07-13,1256.0512088378907,1584.8829111816406,47,15455.090010156244,0.26179800634719963,383
NQ,2010-09-15,2012-01-20,1942.63845,2434.26305,30,14748.737999999998,0.2530705597842975,492
GC,2011-07-13,2013-04-15,1585.5169911621094,1360.3278555908203,41,-9232.75455842285,-0.14202883780276365,642
GC,2013-04-15,2013-06-27,1360.8720955810547,1211.1577444091797,48,-7186.288856250001,-0.1100135359215747,73
NQ,2012-01-20,2013-07-11,2435.23695,3054.389,27,16717.105349999998,0.25424714831137907,538
NQ,2013-07-11,2014-06-27,3055.611,3830.7337,21,16277.576700000012,0.2536719170077606,351
GC,2013-06-27,2015-07-24,1211.6423044189453,1085.3828555908203,53,-6691.750787890625,-0.10420521664491889,757
GC,2015-07-24,2016-07-06,1085.8170955810547,1364.6270444091797,65,18122.64667382813,0.2567743222710315,348
NQ,2014-06-27,2016-08-09,3832.2663,4790.79165,18,17253.456300000005,0.2501197137578879,774
GC,2016-07-06,2016-11-14,1365.1730044189453,1220.9557111816407,54,-7787.733834814455,-0.10564030549277337,131
NQ,2016-08-09,2017-09-12,4792.70835,5995.3007,15,18038.885250000007,0.2509212458129233,399
NQ,2017-09-12,2018-08-27,5997.6993,7566.4864,13,20394.23229999999,0.2615648136944777,349
NQ,2018-08-27,2018-10-29,7569.5136,6734.90275,10,-8346.108500000002,-0.11025950861624711,63
NQ,2018-10-29,2018-12-24,6737.59725,5890.8216,11,-9314.532149999992,-0.12567917294255004,56
NQ,2018-12-24,2019-03-19,5893.1784,7375.0247,13,19264.001900000003,0.2514511184660557,85
GC,2016-11-14,2019-08-27,1221.4441911621093,1540.6918,59,18835.60892143556,0.26136896892043127,1016
NQ,2019-03-19,2020-01-23,7377.9753,9246.40035,11,20552.67555,0.2532436032958798,310
NQ,2020-01-23,2020-03-09,9250.09965,7949.9097,9,-11701.70955,-0.1405595614313193,46
NQ,2020-03-09,2020-03-16,7953.0903,7056.0885,11,-9867.01980000001,-0.11278657303815598,7
NQ,2020-03-16,2020-04-27,7058.9115,8822.48515,11,19399.310150000005,0.2498364868294496,42
GC,2019-08-27,2020-07-27,1541.3082,1930.6138,55,21411.808000000005,0.25258128127781343,335
NQ,2020-04-27,2020-08-03,8826.01485,11042.04115,10,22160.26299999999,0.251078922669159,98
GC,2020-07-27,2021-02-26,1931.3862,1727.7543555908203,50,-10181.592220458988,-0.10543300164885694,214
NQ,2020-08-03,2021-04-09,11046.45885,13826.7341,8,22242.20199999999,0.2516892777815398,249
NQ,2021-04-09,2022-05-09,13832.2659,12191.31125,7,-11486.682549999998,-0.11863238184280422,395
NQ,2022-05-09,2022-10-11,12196.18875,10842.831,8,-10826.861999999994,-0.11096562850423242,155
NQ,2022-10-11,2023-05-17,10847.169,13640.7713,8,22348.818400000004,0.2575420646622175,218
NQ,2023-05-17,2023-12-26,13646.2287,17080.0833,7,24036.9822,0.2516339624294879,223
GC,2021-02-26,2024-03-08,1728.4455955810547,2178.1643776367187,56,25184.25179511719,0.26018683099162354,1106
GC,2024-03-08,2024-10-22,2179.0358176757813,2743.6511111816408,50,28230.764675292972,0.2591124427262024,228
NQ,2023-12-26,2024-12-04,17086.9167,21532.1927,6,26671.655999999988,0.2601567080853153,344
NQ,2024-12-04,2025-03-13,21540.8073,19245.1502,5,-11478.285499999998,-0.10657247279678328,99
NQ,2025-03-13,2025-04-08,19252.8498,17240.30125,6,-12075.291300000012,-0.10453250146895132,26
NQ,2025-04-08,2025-06-03,17247.19875,21701.6588,6,26726.760299999994,0.2582715091631911,56
GC,2024-10-22,2025-06-13,2744.7487911621092,3430.5137111816407,43,29487.89156083984,0.24984615066691873,234
GC,2025-06-13,2025-10-20,3431.8861911621093,4335.532622363281,37,33434.91795444334,0.2633089738022978,129
